sample,beta,theta,date,new_infections,S,I,R,V
93,2.9048067352555593,0.05944582398978873,2020-08-01,759.3067205972025,17459586.899462372,898.3299295232073,50416847.32361929,16122667.446988815
93,2.9048067352555593,0.05944582398978873,2020-09-01,542.3767248720366,16451392.077798402,647.7680430812062,50417640.262230605,17130319.891927913
93,2.9048067352555593,0.05944582398978873,2020-10-01,368.5150799054094,15501557.487415435,444.51068654220114,50418212.03466705,18079785.967230972
93,2.9048067352555593,0.05944582398978873,2020-11-01,238.28250688090063,14606671.330791948,290.4321299460146,50418604.39573053,18974433.841347575
93,2.9048067352555593,0.05944582398978873,2020-12-01,146.70053340542026,13763523.695376886,180.7737886976638,50418860.75460519,19817434.776229233
94,2.9026116555418993,0.05944582398978873,2019-10-01,1273.75506159008,31658521.570526283,1402.469829350952,50400968.41856557,1939107.541078789
94,2.9026116555418993,0.05944582398978873,2019-11-01,1534.204606634283,29829865.862564936,1698.741197486083,50402206.35180407,3766229.0444335034
94,2.9026116555418993,0.05944582398978873,2019-12-01,1750.9567633981453,28106531.374547172,1950.2516640971617,50403705.79810086,5487812.5756878685
94,2.9026116555418993,0.05944582398978873,2020-01-01,1894.0564783190569,26482513.311275084,2122.8583772248603,50405427.24786605,7109936.5824816385
94,2.9026116555418993,0.05944582398978873,2020-02-01,1942.5577610394485,24952174.380799163,2191.6097355916636,50407301.054268725,8638332.955196518
94,2.9026116555418993,0.05944582398978873,2020-03-01,1889.5779918393105,23510209.521178912,2146.695818422966,50409235.54617773,10078408.23682493
94,2.9026116555418993,0.05944582398978873,2020-04-01,1743.8958774997175,22151611.0650268,1995.7444407751148,50411130.39343288,11435262.797099542
94,2.9026116555418993,0.05944582398978873,2020-05-01,1527.58336204459,20871638.28261474,1761.7224355735632,50412891.99880012,12713707.996149559
94,2.9026116555418993,0.05944582398978873,2020-06-01,1270.546179102465,19665794.14219964,1477.2299861334875,50414447.03742866,13918281.590385562
94,2.9026116555418993,0.05944582398978873,2020-07-01,1003.8253709198325,18529810.110070985,1177.132761022435,50415750.96002469,15053261.797143297
94,2.9026116555418993,0.05944582398978873,2020-08-01,753.6977725739956,17459637.727355458,891.7980064793705,50416789.99255181,16122680.482086249
94,2.9026116555418993,0.05944582398978873,2020-09-01,538.0277582429874,16451444.321206652,642.6527566876623,50417577.16555984,17130335.86047681
94,2.9026116555418993,0.05944582398978873,2020-10-01,365.3299129832267,15501609.900844926,440.7253984859947,50418144.42283103,18079804.95092555
94,2.9026116555418993,0.05944582398978873,2020-11-01,236.07566654360008,14606722.926103588,287.7812027705333,50418533.442693286,18974455.850000344
94,2.9026116555418993,0.05944582398978873,2020-12-01,145.2521950089023,13763573.761285111,179.01444573554178,50418787.46164533,19817459.762623813
95,2.9026116555418993,0.05944582398978873,2019-10-01,1273.75506159008,31658521.570526283,1402.469829350952,50400968.41856557,1939107.541078789
95,2.9026116555418993,0.05944582398978873,2019-11-01,1534.204606634283,29829865.862564936,1698.741197486083,50402206.35180407,3766229.0444335034
95,2.9026116555418993,0.05944582398978873,2019-12-01,1750.9567633981453,28106531.374547172,1950.2516640971617,50403705.79810086,5487812.5756878685
95,2.9026116555418993,0.05944582398978873,2020-01-01,1894.0564783190569,26482513.311275084,2122.8583772248603,50405427.24786605,7109936.5824816385
95,2.9026116555418993,0.05944582398978873,2020-02-01,1942.5577610394485,24952174.380799163,2191.6097355916636,50407301.054268725,8638332.955196518
95,2.9026116555418993,0.05944582398978873,2020-03-01,1889.5779918393105,23510209.521178912,2146.695818422966,50409235.54617773,10078408.23682493
95,2.9026116555418993,0.05944582398978873,2020-04-01,1743.8958774997175,22151611.0650268,1995.7444407751148,50411130.39343288,11435262.797099542
95,2.9026116555418993,0.05944582398978873,2020-05-01,1527.58336204459,20871638.28261474,1761.7224355735632,50412891.99880012,12713707.996149559
95,2.9026116555418993,0.05944582398978873,2020-06-01,1270.546179102465,19665794.14219964,1477.2299861334875,50414447.03742866,13918281.590385562
95,2.9026116555418993,0.05944582398978873,2020-07-01,1003.8253709198325,18529810.110070985,1177.132761022435,50415750.96002469,15053261.797143297
95,2.9026116555418993,0.05944582398978873,2020-08-01,753.6977725739956,17459637.727355458,891.7980064793705,50416789.99255181,16122680.482086249
95,2.9026116555418993,0.05944582398978873,2020-09-01,538.0277582429874,16451444.321206652,642.6527566876623,50417577.16555984,17130335.86047681
95,2.9026116555418993,0.05944582398978873,2020-10-01,365.3299129832267,15501609.900844926,440.7253984859947,50418144.42283103,18079804.95092555
95,2.9026116555418993,0.05944582398978873,2020-11-01,236.07566654360008,14606722.926103588,287.7812027705333,50418533.442693286,18974455.850000344
95,2.9026116555418993,0.05944582398978873,2020-12-01,145.2521950089023,13763573.761285111,179.01444573554178,50418787.46164533,19817459.762623813
96,2.9026116555418993,0.05944582398978873,2019-10-01,1273.75506159008,31658521.570526283,1402.469829350952,50400968.41856557,1939107.541078789
96,2.9026116555418993,0.05944582398978873,2019-11-01,1534.204606634283,29829865.862564936,1698.741197486083,50402206.35180407,3766229.0444335034
96,2.9026116555418993,0.05944582398978873,2019-12-01,1750.9567633981453,28106531.374547172,1950.2516640971617,50403705.79810086,5487812.5756878685
96,2.9026116555418993,0.05944582398978873,2020-01-01,1894.0564783190569,26482513.311275084,2122.8583772248603,50405427.24786605,7109936.5824816385
96,2.9026116555418993,0.05944582398978873,2020-02-01,1942.5577610394485,24952174.380799163,2191.6097355916636,50407301.054268725,8638332.955196518
96,2.9026116555418993,0.05944582398978873,2020-03-01,1889.5779918393105,23510209.521178912,2146.695818422966,50409235.54617773,10078408.23682493
96,2.9026116555418993,0.05944582398978873,2020-04-01,1743.8958774997175,22151611.0650268,1995.7444407751148,50411130.39343288,11435262.797099542
96,2.9026116555418993,0.05944582398978873,2020-05-01,1527.58336204459,20871638.28261474,1761.7224355735632,50412891.99880012,12713707.996149559
96,2.9026116555418993,0.05944582398978873,2020-06-01,1270.546179102465,19665794.14219964,1477.2299861334875,50414447.03742866,13918281.590385562
96,2.9026116555418993,0.05944582398978873,2020-07-01,1003.8253709198325,18529810.110070985,1177.132761022435,50415750.96002469,15053261.797143297
96,2.9026116555418993,0.05944582398978873,2020-08-01,753.6977725739956,17459637.727355458,891.7980064793705,50416789.99255181,16122680.482086249
96,2.9026116555418993,0.05944582398978873,2020-09-01,538.0277582429874,16451444.321206652,642.6527566876623,50417577.16555984,17130335.86047681
96,2.9026116555418993,0.05944582398978873,2020-10-01,365.3299129832267,15501609.900844926,440.7253984859947,50418144.42283103,18079804.95092555
96,2.9026116555418993,0.05944582398978873,2020-11-01,236.07566654360008,14606722.926103588,287.7812027705333,50418533.442693286,18974455.850000344
96,2.9026116555418993,0.05944582398978873,2020-12-01,145.2521950089023,13763573.761285111,179.01444573554178,50418787.46164533,19817459.762623813
97,2.9026116555418993,0.05944582398978873,2019-10-01,1273.75506159008,31658521.570526283,1402.469829350952,50400968.41856557,1939107.541078789
97,2.9026116555418993,0.05944582398978873,2019-11-01,1534.204606634283,29829865.862564936,1698.741197486083,50402206.35180407,3766229.0444335034
97,2.9026116555418993,0.05944582398978873,2019-12-01,1750.9567633981453,28106531.374547172,1950.2516640971617,50403705.79810086,5487812.5756878685
97,2.9026116555418993,0.05944582398978873,2020-01-01,1894.0564783190569,26482513.311275084,2122.8583772248603,50405427.24786605,7109936.5824816385
97,2.9026116555418993,0.05944582398978873,2020-02-01,1942.5577610394485,24952174.380799163,2191.6097355916636,50407301.054268725,8638332.955196518
97,2.9026116555418993,0.05944582398978873,2020-03-01,1889.5779918393105,23510209.521178912,2146.695818422966,50409235.54617773,10078408.23682493
97,2.9026116555418993,0.05944582398978873,2020-04-01,1743.8958774997175,22151611.0650268,1995.7444407751148,50411130.39343288,11435262.797099542
97,2.9026116555418993,0.05944582398978873,2020-05-01,1527.58336204459,20871638.28261474,1761.7224355735632,50412891.99880012,12713707.996149559
97,2.9026116555418993,0.05944582398978873,2020-06-01,1270.546179102465,19665794.14219964,1477.2299861334875,50414447.03742866,13918281.590385562
97,2.9026116555418993,0.05944582398978873,2020-07-01,1003.8253709198325,18529810.110070985,1177.132761022435,50415750.96002469,15053261.797143297
97,2.9026116555418993,0.05944582398978873,2020-08-01,753.6977725739956,17459637.727355458,891.7980064793705,50416789.99255181,16122680.482086249
97,2.9026116555418993,0.05944582398978873,2020-09-01,538.0277582429874,16451444.321206652,642.6527566876623,50417577.16555984,17130335.86047681
97,2.9026116555418993,0.05944582398978873,2020-10-01,365.3299129832267,15501609.900844926,440.7253984859947,50418144.42283103,18079804.95092555
97,2.9026116555418993,0.05944582398978873,2020-11-01,236.07566654360008,14606722.926103588,287.7812027705333,50418533.442693286,18974455.850000344
97,2.9026116555418993,0.05944582398978873,2020-12-01,145.2521950089023,13763573.761285111,179.01444573554178,50418787.46164533,19817459.762623813
98,2.9026116555418993,0.05944582398978873,2019-10-01,1273.75506159008,31658521.570526283,1402.469829350952,50400968.41856557,1939107.541078789
98,2.9026116555418993,0.05944582398978873,2019-11-01,1534.204606634283,29829865.862564936,1698.741197486083,50402206.35180407,3766229.0444335034
98,2.9026116555418993,0.05944582398978873,2019-12-01,1750.9567633981453,28106531.374547172,1950.2516640971617,50403705.79810086,5487812.5756878685
98,2.9026116555418993,0.05944582398978873,2020-01-01,1894.0564783190569,26482513.311275084,2122.8583772248603,50405427.24786605,7109936.5824816385
98,2.9026116555418993,0.05944582398978873,2020-02-01,1942.5577610394485,24952174.380799163,2191.6097355916636,50407301.054268725,8638332.955196518
